type,title,cover,author,authorImg,authorWork,authorWords,authorDays,monthRead,monthFlower,allRead,allFlower,wordNum,updateTicket,reward,monthTicker,shareNum,rate,startTime,updateTime,detailLink
玄幻奇幻,玄幻之无上人皇,http://img.faloo.com/Novel/498x705/0/210/000210746.jpg,启明星,//photo.faloo.com/default.jpg,7,15640000,2544,150192,2031,28606367,24754,4455047,23,3589.0,0,42,10,2018-07-08,2024-12-07,https://b.faloo.com/509546.html
玄幻奇幻,西游：我，黑无常，地府签到十万年,http://img.faloo.com/Novel/498x705/0/662/000662047.jpg,西游无常,//photo.faloo.com/default.jpg,2,8690000,1467,150169,2030,15062893,80646,4435624,7,788000.0,0,0,9.9,2020-12-16,2024-12-07,https://b.faloo.com/870743.html
玄幻奇幻,原神：直播国粹，全给我坐下听戏,http://img.faloo.com/Novel/498x705/1/1108/001108570.jpg,谦卑的石头,//photo.faloo.com/default.jpg,3,6590000,282,149453,2050,3174040,2013,1241325,0,0.0,0,0,0,2024-03-23,2024-12-08,https://b.faloo.com/1402755.html
玄幻奇幻,玄幻之最强红名村,http://img.faloo.com/Novel/498x705/0/186/000186932.jpg,落魄小书生,http://img.faloo.com/bbs/120x120/1/1715/1715421.jpg,2,18150000,3203,150093,2034,35060253,546843,6677676,770,942000.0,0,138,10,2017-10-15,2024-12-07,https://b.faloo.com/464333.html
玄幻奇幻,高武：让你练武，你却镇压女帝？,http://img.faloo.com/Novel/498x705/1/1551/001551864.jpg,翡翠大玉米,//photo.faloo.com/default.jpg,7,4340000,866,150147,2760,364234,2534,120725,0,100.0,1,0,10,2024-11-21,2024-12-07,https://b.faloo.com/1454132.html
玄幻奇幻,洪荒：从脚踩道祖鸿钧开始,http://img.faloo.com/Novel/498x705/1/1550/001550738.jpg,最强组诗,//photo.faloo.com/default.jpg,2,480000,42,150583,1026,488081,169,220610,0,0.0,0,0,0,2024-11-15,2024-12-01,https://b.faloo.com/1453147.html
玄幻奇幻,我，洪荒大佬，加入聊天群,http://img.faloo.com/Novel/498x705/0/512/000512024.jpg,仙丨三霄,//photo.faloo.com/default.jpg,75,180000,2606,151244,2029,23566254,82704,5142246,73,203000.0,0,1,9.9,2020-08-13,2024-12-06,https://b.faloo.com/811123.html
玄幻奇幻,吾乃接引道人,http://img.faloo.com/Novel/498x705/0/343/000343799.jpg,蓝天1,//photo.faloo.com/default.jpg,3,6320000,2313,148647,2028,41592415,136327,4853655,27,731000.0,0,29,9.9,2018-09-23,2024-12-07,https://b.faloo.com/525918.html
玄幻奇幻,综武：开局力挺神仙姐姐翻白眼！,http://img.faloo.com/Novel/498x705/1/1546/001546698.jpg,红楼四合,//photo.faloo.com/default.jpg,1,530000,42,123634,2045,905616,484,534439,0,0.0,0,0,0,2024-10-27,2024-11-29,https://b.faloo.com/1449874.html
玄幻奇幻,西游：忽悠孙悟空，学习遮天法！,http://img.faloo.com/Novel/498x705/1/1376/001376427.jpg,天榜守墓之人,//photo.faloo.com/default.jpg,16,8770000,1898,150398,2038,2546337,1741,1119405,0,5000.0,0,0,0,2024-08-20,2024-12-07,https://b.faloo.com/1438132.html
玄幻奇幻,洪荒：吾为盘古太上，拒当老子！,http://img.faloo.com/Novel/498x705/1/1026/001026534.jpg,冲天榜的姜,//photo.faloo.com/default.jpg,6,10840000,573,150188,2050,12853134,30383,4525608,6,523000.0,0,0,9.9,2023-06-20,2024-12-07,https://b.faloo.com/1328862.html
玄幻奇幻,洪荒：吾为女娲，开局创造人族！,http://img.faloo.com/Novel/498x705/1/1052/001052235.jpg,冲天榜的姜,//photo.faloo.com/default.jpg,6,10840000,573,151188,2080,10191500,71657,1446712,5,423000.0,0,0,9.8,2023-07-27,2024-12-07,https://b.faloo.com/1341410.html
玄幻奇幻,全民高武：从掠夺词条开始崛起！,http://img.faloo.com/Novel/498x705/1/1550/001550878.jpg,牢大科比,//photo.faloo.com/default.jpg,1,590000,92,149776,1127,476914,10269,143838,0,100.0,0,0,0,2024-11-16,2024-12-07,https://b.faloo.com/1453268.html
玄幻奇幻,开局盘点大爱仙尊，诸天万界懵了,http://img.faloo.com/Novel/498x705/1/1362/001362248.jpg,江江冲上榜,//photo.faloo.com/default.jpg,8,2280000,165,151009,1973,3321698,9739,628629,5,1100.0,0,0,9.9,2024-06-27,2024-12-07,https://b.faloo.com/1425762.html
